date,timestamp,product_id,product_name,category,retailer,price,in_stock
2024-01-01,1704067200,1,Redmi 10 Power,All Electronics,Amazon,11424.7,True
2024-01-01,1704067200,1,Redmi 10 Power,All Electronics,Walmart,10426.97,False
2024-01-01,1704067200,1,Redmi 10 Power,All Electronics,Best Buy,11782.64,True
2024-01-01,1704067200,1,Redmi 10 Power,All Electronics,Target,10764.81,True
2024-01-01,1704067200,1,Redmi 10 Power,All Electronics,Costco,11206.26,False
2024-01-01,1704067200,1,Redmi 10 Power,All Electronics,eBay,10735.71,True
2024-01-01,1704067200,1,Redmi 10 Power,All Electronics,Newegg,10441.89,False
2024-01-01,1704067200,1,Redmi 10 Power,All Electronics,B&H,10914.74,False
2024-01-01,1704067200,1,Redmi 10 Power,All Electronics,Micro Center,11621.74,True
2024-01-01,1704067200,1,Redmi 10 Power,All Electronics,Adorama,11304.33,True
2024-01-01,1704067200,2,OnePlus Nord CE 2,All Electronics,Amazon,18307.78,True
2024-01-01,1704067200,2,OnePlus Nord CE 2,All Electronics,Walmart,17714.38,True
2024-01-01,1704067200,2,OnePlus Nord CE 2,All Electronics,Best Buy,18780.06,True
2024-01-01,1704067200,2,OnePlus Nord CE 2,All Electronics,Target,18337.69,True
2024-01-01,1704067200,2,OnePlus Nord CE 2,All Electronics,Costco,20813.84,False
2024-01-01,1704067200,2,OnePlus Nord CE 2,All Electronics,eBay,18890.05,False
2024-01-01,1704067200,2,OnePlus Nord CE 2,All Electronics,Newegg,17987.34,False
2024-01-01,1704067200,2,OnePlus Nord CE 2,All Electronics,B&H,18248.5,True
2024-01-01,1704067200,2,OnePlus Nord CE 2,All Electronics,Micro Center,18169.85,True
2024-01-01,1704067200,2,OnePlus Nord CE 2,All Electronics,Adorama,19000.98,True
2024-01-01,1704067200,3,OnePlus Bullets Z2 Bluetooth,All Electronics,Amazon,2004.06,True
2024-01-01,1704067200,3,OnePlus Bullets Z2 Bluetooth,All Electronics,Walmart,1873.09,False
2024-01-01,1704067200,3,OnePlus Bullets Z2 Bluetooth,All Electronics,Best Buy,2142.06,True
2024-01-01,1704067200,3,OnePlus Bullets Z2 Bluetooth,All Electronics,Target,1955.1,True
2024-01-01,1704067200,3,OnePlus Bullets Z2 Bluetooth,All Electronics,Costco,1950.7,True
2024-01-01,1704067200,3,OnePlus Bullets Z2 Bluetooth,All Electronics,eBay,1986.68,True
2024-01-01,1704067200,3,OnePlus Bullets Z2 Bluetooth,All Electronics,Newegg,2009.06,False
2024-01-01,1704067200,3,OnePlus Bullets Z2 Bluetooth,All Electronics,B&H,1860.78,True
2024-01-01,1704067200,3,OnePlus Bullets Z2 Bluetooth,All Electronics,Micro Center,2041.64,False
2024-01-01,1704067200,3,OnePlus Bullets Z2 Bluetooth,All Electronics,Adorama,1965.13,True
2024-01-01,1704067200,4,Samsung Galaxy M33 5G,All Electronics,Amazon,17080.16,True
2024-01-01,1704067200,4,Samsung Galaxy M33 5G,All Electronics,Walmart,15772.67,True
2024-01-01,1704067200,4,Samsung Galaxy M33 5G,All Electronics,Best Buy,15197.05,True
2024-01-01,1704067200,4,Samsung Galaxy M33 5G,All Electronics,Target,14992.11,True
2024-01-01,1704067200,4,Samsung Galaxy M33 5G,All Electronics,Costco,15549.31,False
2024-01-01,1704067200,4,Samsung Galaxy M33 5G,All Electronics,eBay,15710.14,False
2024-01-01,1704067200,4,Samsung Galaxy M33 5G,All Electronics,Newegg,16789.53,True
2024-01-01,1704067200,4,Samsung Galaxy M33 5G,All Electronics,B&H,14907.77,True
2024-01-01,1704067200,4,Samsung Galaxy M33 5G,All Electronics,Micro Center,14455.72,True
2024-01-01,1704067200,4,Samsung Galaxy M33 5G,All Electronics,Adorama,16211.5,True
2024-01-01,1704067200,5,OnePlus Nord CE 2,All Electronics,Amazon,18670.76,True
2024-01-01,1704067200,5,OnePlus Nord CE 2,All Electronics,Walmart,17867.58,False
2024-01-01,1704067200,5,OnePlus Nord CE 2,All Electronics,Best Buy,19397.6,True
2024-01-01,1704067200,5,OnePlus Nord CE 2,All Electronics,Target,17948.61,True
2024-01-01,1704067200,5,OnePlus Nord CE 2,All Electronics,Costco,19281.16,True
2024-01-01,1704067200,5,OnePlus Nord CE 2,All Electronics,eBay,18958.89,True
2024-01-01,1704067200,5,OnePlus Nord CE 2,All Electronics,Newegg,19392.12,False
2024-01-01,1704067200,5,OnePlus Nord CE 2,All Electronics,B&H,18488.11,True
2024-01-01,1704067200,5,OnePlus Nord CE 2,All Electronics,Micro Center,18116.19,True
2024-01-01,1704067200,5,OnePlus Nord CE 2,All Electronics,Adorama,19835.59,True
2024-01-01,1704067200,6,Redmi 10 Power,All Electronics,Amazon,11652.06,False
